step,phase,trace_pair,linking_score,overlap_branch_contribution,nonoverlap_contribution
0,init,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
1,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
2,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
3,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
4,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
5,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
6,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
7,consolidation_replay,mu1_mu2,0.45257281999999993,0.40366074999999996,0.048912069999999974
8,consolidation_replay,mu1_mu2,0.5054833287062809,0.4521465834499999,0.05333674525628096
9,consolidation_replay,mu1_mu2,0.5456032381189868,0.4875709539724875,0.0580322841464993
10,consolidation_replay,mu1_mu2,0.5755155360554187,0.5139506612364281,0.061564874818990645
11,consolidation_replay,mu1_mu2,0.5981537768637943,0.5338928006720106,0.06426097619178373
12,consolidation_replay,mu1_mu2,0.615480737138199,0.5491394636569057,0.06634127348129326
13,consolidation_replay,mu1_mu2,0.6288441715446444,0.5608854478202849,0.06795872372435952
14,consolidation_replay,mu1_mu2,0.6391914032269658,0.5699696468101221,0.0692217564168437
15,consolidation_replay,mu1_mu2,0.6472025535339664,0.5769937311718865,0.07020882236207993
16,post_consolidation_probe,mu1_mu2,0.6472025535339664,0.5769937311718865,0.07020882236207993
17,post_consolidation_probe,mu1_mu2,0.6472025535339664,0.5769937311718865,0.07020882236207993
18,overlap_damage,mu1_mu2,0.6295416974869994,0.5596839192367299,0.06985777825026951
19,overlap_damage,mu1_mu2,0.6124018910186461,0.542893401659628,0.0695084893590181
20,overlap_damage,mu1_mu2,0.5957675465220623,0.5266065996098392,0.06916094691222308
21,overlap_damage,mu1_mu2,0.579623543799206,0.5108084016215441,0.06881514217766194
22,overlap_damage,mu1_mu2,0.5639552160396712,0.49548414957289766,0.06847106646677359
23,overlap_damage,mu1_mu2,0.5487483362201505,0.48061962508571077,0.06812871113443975
24,overlap_damage,mu1_mu2,0.533989103911907,0.4662010363331394,0.0677880675787676
25,overlap_damage,mu1_mu2,0.519664132484019,0.45221500524314523,0.06744912724087376
26,overlap_damage,mu1_mu2,0.5057604366905202,0.4386485550858508,0.06711188160466935
27,post_damage_probe,mu1_mu2,0.5057604366905202,0.4386485550858508,0.06711188160466935
28,post_damage_probe,mu1_mu2,0.5057604366905202,0.4386485550858508,0.06711188160466935
29,targeted_rescue,mu1_mu2,0.5474131504184353,0.47658235851782216,0.07083079190061314
30,targeted_rescue,mu1_mu2,0.5747275213891144,0.5012382421730645,0.07348927921604997
31,targeted_rescue,mu1_mu2,0.5924669360560971,0.5170432138548847,0.0754237222012124
32,targeted_rescue,mu1_mu2,0.6035828980881702,0.5267342658934573,0.07684863219471294
33,targeted_rescue,mu1_mu2,0.6099693653677165,0.5320642023469773,0.07790516302073924
34,targeted_rescue,mu1_mu2,0.6128809376063707,0.5341921050106659,0.0786888325957048
35,targeted_rescue,mu1_mu2,0.6131734384304134,0.5339075139415591,0.07926592448885428
36,targeted_rescue,mu1_mu2,0.6114469523273259,0.5317634549312598,0.07968349739606617
37,targeted_rescue,mu1_mu2,0.6081333975765643,0.528157731698114,0.07997566587845029
38,post_rescue_probe,mu1_mu2,0.6552221456849311,0.5810267224490576,0.07419542323587347
39,post_rescue_probe,mu1_mu2,0.6552221456849311,0.5810267224490576,0.07419542323587347
