comparator,step,phase,trace_id,recall_support,readout_value,context_label
full_model,0,init,mu1,0.0,0.18242552380635632,none
full_model,0,init,mu2,0.0,0.18242552380635632,none
full_model,1,encode_mu_1,mu1,1.3693651244941076,0.9952593335954244,none
full_model,1,encode_mu_1,mu2,0.621098575351703,0.8327846909520257,none
full_model,2,encode_mu_1,mu1,1.3693651244941076,0.9952593335954244,none
full_model,2,encode_mu_1,mu2,0.621098575351703,0.8327846909520257,none
full_model,3,encode_mu_2,mu2,1.3693651244941076,0.9952593335954244,none
full_model,3,encode_mu_2,mu1,0.621098575351703,0.8327846909520257,none
full_model,4,encode_mu_2,mu2,1.3693651244941076,0.9952593335954244,none
full_model,4,encode_mu_2,mu1,0.621098575351703,0.8327846909520257,none
full_model,5,pre_consolidation_probe,mu1,1.3693651244941076,0.9952593335954244,none
full_model,5,pre_consolidation_probe,mu2,0.621098575351703,0.8327846909520257,none
full_model,6,pre_consolidation_probe,mu2,1.3693651244941076,0.9952593335954244,none
full_model,6,pre_consolidation_probe,mu1,0.621098575351703,0.8327846909520257,none
full_model,7,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,7,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,8,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,8,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,9,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,9,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,10,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,10,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,11,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,11,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,12,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,12,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,13,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,13,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,14,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,14,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,15,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
full_model,15,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
full_model,16,post_consolidation_probe,mu1,1.4236580817571376,0.9963822922655796,none
full_model,16,post_consolidation_probe,mu2,0.6465407876024378,0.8497579568926998,none
full_model,17,post_consolidation_probe,mu2,1.424870164365527,0.9964040721644516,none
full_model,17,post_consolidation_probe,mu1,0.6466081255251261,0.8498009367823565,none
full_model,18,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,18,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,19,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,19,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,20,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,20,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,21,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,21,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,22,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,22,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,23,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,23,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,24,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,24,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,25,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,25,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,26,overlap_damage,mu2,1.424870164365527,0.9964040721644516,none
full_model,26,overlap_damage,mu1,0.6466081255251261,0.8498009367823565,none
full_model,27,post_damage_probe,mu1,1.4112476862704355,0.9961515864061425,none
full_model,27,post_damage_probe,mu2,0.635963477115375,0.8428803484407406,none
full_model,28,post_damage_probe,mu2,1.4126605547110898,0.9961785735898765,none
full_model,28,post_damage_probe,mu1,0.6360419698065225,0.8429323165858166,none
full_model,29,post_rescue_probe,mu1,1.425930366823787,0.9964230157828892,none
full_model,29,post_rescue_probe,mu2,0.6468208974723006,0.8499366765723729,none
full_model,30,post_rescue_probe,mu2,1.4268512537326743,0.9964393894048005,none
full_model,30,post_rescue_probe,mu1,0.6468720578561277,0.849969299734392,none
